player_name,club,age,position,minutes,goals,assists,contract_expires_year,market_value_million_eur,predicted_value_million_eur,value_diff,valuation_label
Javier Mascherano,Barcelona,33.0,DF,542.0,0.0,0.0,,5.0,6.621174999999999,1.6211749999999991,undervalued
Lionel Messi,Barcelona,30.0,"FW,MF",3002.0,34.0,12.0,,180.0,93.84666666666666,-86.15333333333334,overvalued
Dayot Upamecano,RB Leipzig,18.0,DF,2268.0,3.0,0.0,,30.0,24.68,-5.32,overvalued
Blaise Matuidi,Paris S-G,30.0,MF,28.0,0.0,0.0,,30.0,24.102789333333337,-5.897210666666663,overvalued
Shkodran Mustafi,Arsenal,25.0,DF,2273.0,3.0,1.0,,25.0,24.585,-0.41499999999999915,fair
Sergi Roberto,Barcelona,25.0,DF,2221.0,1.0,7.0,,55.0,54.66,-0.3400000000000034,fair
Nélson Semedo,Barcelona,23.0,DF,1500.0,0.0,0.0,,30.0,33.351,3.350999999999999,undervalued
Denis Suárez,Barcelona,23.0,"MF,FW",602.0,2.0,2.0,,15.0,20.483333333333334,5.483333333333334,undervalued
Luis Suárez,Barcelona,30.0,FW,2897.0,25.0,7.0,,70.0,62.94833333333333,-7.051666666666669,overvalued
Marc-André ter Stegen,Barcelona,25.0,GK,3330.0,0.0,0.0,,60.0,58.43666666666667,-1.5633333333333326,overvalued
Mattia Caldara,Atalanta,23.0,DF,2160.0,3.0,1.0,,25.0,19.365,-5.635000000000002,overvalued
David Luiz,Chelsea,30.0,"DF,MF",840.0,1.0,0.0,,25.0,12.813238000000002,-12.186761999999998,overvalued
Aleix Vidal,Barcelona,27.0,"MF,FW",468.0,1.0,1.0,,7.5,10.168333333333333,2.668333333333333,undervalued
Harry Maguire,Leicester City,24.0,DF,3420.0,2.0,4.0,,25.0,24.97,-0.030000000000001137,fair
Juan Bernat,Bayern Munich,24.0,"DF,FW",888.0,0.0,2.0,,12.0,22.3202,10.3202,undervalued
Victor Lindelöf,Manchester Utd,23.0,DF,1285.0,0.0,0.0,,25.0,22.979333333333333,-2.020666666666667,overvalued
Kingsley Coman,Bayern Munich,21.0,"FW,MF",1153.0,3.0,3.0,,50.0,43.74666666666667,-6.25333333333333,overvalued
Niklas Dorsch,Bayern Munich,19.0,MF,90.0,1.0,0.0,,0.04,2.6937666666666615,2.6537666666666615,undervalued
Franck Evina,Bayern Munich,17.0,FW,110.0,0.0,0.0,,0.01,0.2921896666666668,0.2821896666666668,fair
Matthias Ginter,M'Gladbach,23.0,DF,3060.0,5.0,2.0,,25.0,16.953333333333333,-8.046666666666667,overvalued
Clément Lenglet,Sevilla,22.0,DF,3000.0,3.0,1.0,,25.0,25.655,0.6550000000000011,fair
Joshua Kimmich,Bayern Munich,22.0,DF,2329.0,1.0,10.0,,55.0,54.42166666666667,-0.5783333333333331,fair
Robert Lewandowski,Bayern Munich,28.0,FW,2172.0,29.0,2.0,,90.0,80.46333333333334,-9.536666666666662,overvalued
Medhi Benatia,Juventus,30.0,DF,1755.0,2.0,0.0,,23.0,21.481491666666667,-1.5185083333333331,overvalued
Javi Martínez,Bayern Munich,28.0,"MF,DF",1609.0,1.0,2.0,,40.0,36.4294,-3.570599999999999,overvalued
