player_name,club,age,position,minutes,goals,assists,contract_expires_year,market_value_million_eur
Óscar de Marcos,Athletic Club,28.0,"DF,MF",1654.0,1.0,3.0,,6.0
Eric Bailly,Manchester Utd,23.0,DF,1001.0,1.0,0.0,,35.0
Sabin Merino,Athletic Club,25.0,"FW,MF",376.0,0.0,0.0,,1.5
Iker Muniain,Athletic Club,24.0,"MF,FW",784.0,4.0,2.0,,10.0
Leonardo Bonucci,Milan,30.0,DF,3085.0,2.0,1.0,,35.0
Houssem Aouar,Lyon,19.0,"MF,FW",2430.0,6.0,4.0,,35.0
Enric Saborit,Athletic Club,25.0,DF,1433.0,0.0,1.0,,0.08
Mikel San José,Athletic Club,28.0,MF,2153.0,1.0,1.0,,9.0
Markel Susaeta,Athletic Club,29.0,"FW,MF",2261.0,3.0,2.0,,9.0
Mikel Vesga,Athletic Club,24.0,MF,804.0,1.0,1.0,,2.5
Iñaki Williams,Athletic Club,23.0,"FW,MF",2853.0,7.0,4.0,,30.0
Yannick Carrasco,Atlético Madrid,23.0,"MF,FW",901.0,3.0,4.0,,25.0
Ángel Correa,Atlético Madrid,22.0,"FW,MF",2240.0,8.0,5.0,,24.0
Diego Costa,Atlético Madrid,28.0,FW,1034.0,3.0,3.0,,60.0
Allan,Napoli,26.0,MF,2850.0,4.0,5.0,,33.0
Gabi,Atlético Madrid,34.0,MF,2354.0,0.0,0.0,,3.0
Kévin Gameiro,Atlético Madrid,30.0,FW,1133.0,7.0,2.0,,20.0
Iñigo Martínez,Athletic Club,26.0,DF,1440.0,0.0,0.0,,32.0
Antoine Griezmann,Atlético Madrid,26.0,FW,2509.0,19.0,9.0,,100.0
Lucas Hernández,Atlético Madrid,21.0,DF,2122.0,0.0,1.0,,35.0
Carlos Isaac,Atlético Madrid,19.0,DF,62.0,0.0,0.0,,0.02
Juanfran,Atlético Madrid,32.0,DF,1306.0,0.0,0.0,,5.0
Cesc Fàbregas,Chelsea,30.0,MF,2307.0,2.0,4.0,,30.0
Filipe Luís,Atlético Madrid,31.0,DF,1656.0,1.0,2.0,,8.0
Blaise Matuidi,Juventus,30.0,MF,2354.0,3.0,1.0,,30.0
Georginio Wijnaldum,Liverpool,26.0,MF,2387.0,1.0,2.0,,30.0
Jan Oblak,Atlético Madrid,24.0,GK,3330.0,0.0,0.0,,70.0
Thomas Partey,Atlético Madrid,24.0,"MF,DF",2373.0,3.0,0.0,,25.0
Arona Sané,Atlético Madrid,22.0,MF,66.0,0.0,0.0,,0.025
Fernando Torres,Atlético Madrid,33.0,FW,996.0,5.0,1.0,,4.0
Luciano Vietto,Atlético Madrid,23.0,FW,264.0,0.0,0.0,,6.0
Vitolo,Atlético Madrid,27.0,"MF,FW",616.0,1.0,1.0,,25.0
Axel Werner,Atlético Madrid,21.0,GK,90.0,0.0,0.0,,1.0
Daniel Baier,Augsburg,33.0,MF,2538.0,0.0,2.0,,1.0
Caiuby,Augsburg,29.0,"FW,MF",2855.0,5.0,7.0,,5.0
Sergio Córdova,Augsburg,19.0,"FW,MF",586.0,2.0,1.0,,1.5
Iñigo Martínez,Real Sociedad,26.0,DF,1055.0,1.0,0.0,,32.0
Raphael Framberger,Augsburg,21.0,DF,696.0,0.0,0.0,,0.075
Jan Vertonghen,Tottenham,30.0,DF,3203.0,0.0,0.0,,32.0
Michael Gregoritsch,Augsburg,23.0,"MF,FW",2527.0,13.0,3.0,,14.0
Marcel Heller,Augsburg,31.0,"FW,MF",1299.0,0.0,1.0,,1.0
Jonathan Tah,Leverkusen,21.0,DF,2427.0,0.0,2.0,,30.0
Marwin Hitz,Augsburg,29.0,GK,2880.0,0.0,0.0,,4.0
Kilian Jakob,Augsburg,19.0,FW,50.0,0.0,0.0,,0.02
Presnel Kimpembe,Paris S-G,21.0,DF,2425.0,0.0,0.0,,30.0
Rani Khedira,Augsburg,23.0,"MF,DF",2275.0,1.0,1.0,,3.5
Andreas Luthe,Augsburg,30.0,GK,180.0,0.0,0.0,,0.05
Philipp Max,Augsburg,23.0,DF,2959.0,2.0,12.0,,15.0
Ander Herrera,Manchester Utd,27.0,MF,1268.0,0.0,2.0,,30.0
Daniel Opare,Augsburg,26.0,"DF,MF",1417.0,0.0,0.0,,1.0
Shawn Parker,Augsburg,24.0,"DF,MF",46.0,0.0,0.0,,0.015
Marco Richter,Augsburg,19.0,"FW,MF",644.0,1.0,0.0,,1.0
Jonathan Schmid,Augsburg,27.0,"DF,FW",1473.0,0.0,0.0,,2.5
Erik Thommy,Augsburg,22.0,FW,167.0,0.0,0.0,,5.0
Jordi Alba,Barcelona,28.0,DF,2741.0,2.0,6.0,,60.0
Paco Alcácer,Barcelona,23.0,"FW,MF",698.0,4.0,2.0,,15.0
Sergio Busquets,Barcelona,29.0,MF,2588.0,1.0,2.0,,80.0
Jasper Cillessen,Barcelona,28.0,GK,90.0,0.0,0.0,,9.0
Philippe Coutinho,Barcelona,25.0,"FW,MF",1293.0,8.0,5.0,,100.0
Ousmane Dembélé,Barcelona,20.0,"FW,MF",918.0,3.0,6.0,,80.0
Gerard Deulofeu,Barcelona,23.0,"MF,FW",502.0,1.0,1.0,,14.0
Lucas Digne,Barcelona,24.0,DF,709.0,0.0,1.0,,15.0
Franck Kessié,Milan,20.0,MF,3264.0,5.0,1.0,,30.0
Giovani Lo Celso,Paris S-G,21.0,MF,1776.0,4.0,2.0,,30.0
Javier Mascherano,Barcelona,33.0,DF,542.0,0.0,0.0,,5.0
Lionel Messi,Barcelona,30.0,"FW,MF",3002.0,34.0,12.0,,180.0
Dayot Upamecano,RB Leipzig,18.0,DF,2268.0,3.0,0.0,,30.0
Blaise Matuidi,Paris S-G,30.0,MF,28.0,0.0,0.0,,30.0
Shkodran Mustafi,Arsenal,25.0,DF,2273.0,3.0,1.0,,25.0
Sergi Roberto,Barcelona,25.0,DF,2221.0,1.0,7.0,,55.0
Nélson Semedo,Barcelona,23.0,DF,1500.0,0.0,0.0,,30.0
Denis Suárez,Barcelona,23.0,"MF,FW",602.0,2.0,2.0,,15.0
Luis Suárez,Barcelona,30.0,FW,2897.0,25.0,7.0,,70.0
